 MES            Lista de Sitios Fraudulentos

ABRIL		https://cryptogainers.ltd/
ABRIL		https://capital-wealthglobal.net/
ABRIL		https://mackenzieinvestment.ltd/
ABRIL		https://crescito.pro/
ABRIL		http://Accurewealthtrade.net
ABRIL		https://fundexchange.org/
ABRIL		https://digitromarts.com/
ABRIL		https://trustchainltd.com/
ABRIL		https://chrystalcpt.com
ABRIL		https://cashfxgroup.pro/
ABRIL		https://quantro-pay.com/
ABRIL		https://capital-expertfinance.com/

MARZO		https://www.dominionscorp.com/
MARZO		https://nexcapital.net/
MARZO		https://aloragasoline.btcwin-trade.com
MARZO		https://eagleglobalinvestment.com/
MARZO		https://acnportfolio.net/
MARZO		https://www.dailyminin.com/
MARZO		https://validusdaat.com/
MARZO		https://alphacapitallimited.org/
MARZO		https://www.bydzyne.com/
MARZO		http://imperialtradings.com

FEBRERO		https://greenenergycircleltd.com
FEBRERO		https://equienox.top/
FEBRERO		http://www.bits-farm.com
FEBRERO		https://marketgurus.net/
FEBRERO		https://gain-hash-ltd.net/home.html
FEBRERO		http://dynamic-access.ltd
FEBRERO		https://fin-capitals.com/
FEBRERO		https://afriqjmarbitrage.us/
FEBRERO		https://web.roimaster.academy/
FEBRERO		https://exagoninvltd.net/

ENERO		https://www.rialtoprime.net
ENERO		https://milfordassetholding.com
ENERO		https://smartbusinesscorp.com.mx/
ENERO		http://yogaprocompany.com

2023

DICIEMBRE	https://fxcapitalmarkettrading.com/
DICIEMBRE	https://eliteassetlimited.com/
DICIEMBRE	https://profitleisureltd.com/
DICIEMBRE	https://www.perficientcoin.com/
DICIEMBRE	https://perfectpro.ltd/
DICIEMBRE	https://truststreamletsltd.com/
DICIEMBRE	https://yscapitalinv.com/
DICIEMBRE	https://www.cryptocoinsexchangemining.com/
DICIEMBRE	https://vertexmegaltrade.com/

NOVIEMBRE	https://trade-fx.in/
NOVIEMBRE	https://miners24fx.com/
NOVIEMBRE	https://www.coinsbankinvestment.org/
NOVIEMBRE	https://pro-metapad.org/
NOVIEMBRE	https://next.pro-metapad.com/
NOVIEMBRE	https://cryptoearnpro.com/
NOVIEMBRE	https://tron.srl/pc.html
NOVIEMBRE	https://alphaessinvest.com/
NOVIEMBRE	https://crystalgt.com/
